DETAIL:  A field with precision 3, scale 2 must round to an absolute value less than 10^1.

2025-05-16 16:39:42,895 - ERROR - Failed to process beatmapset 2351550: permission denied for table beatmapsets

2025-05-16 16:39:42,897 - ERROR - Failed to process beatmapset 2332124: permission denied for table beatmapsets

2025-05-16 16:39:42,899 - ERROR - Failed to process beatmapset 2345070: numeric field overflow
DETAIL:  A field with precision 3, scale 2 must round to an absolute value less than 10^1.

2025-05-16 16:39:42,901 - ERROR - Failed to process beatmapset 2294273: permission denied for table beatmapsets

2025-05-16 16:39:42,904 - ERROR - Failed to process beatmapset 2340450: permission denied for table beatmapsets

2025-05-16 16:39:42,906 - ERROR - Failed to process beatmapset 2151709: permission denied for table beatmapsets

2025-05-16 16:39:42,909 - ERROR - Failed to process beatmapset 975211: permission denied for table beatmapsets

2025-05-16 16:39:42,912 - ERROR - Failed to process beatmapset 1300823: permission denied for table beatmapsets

2025-05-16 16:39:42,914 - ERROR - Failed to process beatmapset 2272306: numeric field overflow
DETAIL:  A field with precision 3, scale 2 must round to an absolute value less than 10^1.

2025-05-16 16:39:42,916 - ERROR - Failed to process beatmapset 2073087: permission denied for table beatmapsets

2025-05-16 16:39:42,918 - ERROR - Failed to process beatmapset 2346144: permission denied for table beatmapsets

2025-05-16 16:39:42,920 - ERROR - Failed to process beatmapset 2330232: permission denied for table beatmapsets

2025-05-16 16:39:42,923 - ERROR - Failed to process beatmapset 2049668: permission denied for table beatmapsets

2025-05-16 16:39:42,926 - ERROR - Failed to process beatmapset 2323787: permission denied for table beatmapsets

2025-05-16 16:39:42,928 - ERROR - Failed to process beatmapset 2315792: permission denied for table beatmapsets

2025-05-16 16:39:44,141 - ERROR - Failed to process beatmapset 1951766: permission denied for table beatmapsets

2025-05-16 16:39:44,145 - ERROR - Failed to process beatmapset 2043007: permission denied for table beatmapsets

2025-05-16 16:39:44,148 - ERROR - Failed to process beatmapset 2326378: permission denied for table beatmapsets

2025-05-16 16:39:44,151 - ERROR - Failed to process beatmapset 2324518: permission denied for table beatmapsets

2025-05-16 16:39:44,153 - ERROR - Failed to process beatmapset 2315333: permission denied for table beatmapsets

2025-05-16 16:39:44,156 - ERROR - Failed to process beatmapset 2297053: permission denied for table beatmapsets

2025-05-16 16:39:44,159 - ERROR - Failed to process beatmapset 2191464: permission denied for table beatmapsets

2025-05-16 16:39:44,162 - ERROR - Failed to process beatmapset 2222536: permission denied for table beatmapsets

2025-05-16 16:39:44,164 - ERROR - Failed to process beatmapset 2234367: permission denied for table beatmapsets

2025-05-16 16:39:44,167 - ERROR - Failed to process beatmapset 2351685: permission denied for table beatmapsets

2025-05-16 16:39:44,170 - ERROR - Failed to process beatmapset 2266660: permission denied for table beatmapsets

2025-05-16 16:39:44,173 - ERROR - Failed to process beatmapset 2328533: permission denied for table beatmapsets

2025-05-16 16:39:44,176 - ERROR - Failed to process beatmapset 2354160: permission denied for table beatmapsets

2025-05-16 16:39:44,179 - ERROR - Failed to process beatmapset 593434: numeric field overflow
DETAIL:  A field with precision 3, scale 2 must round to an absolute value less than 10^1.

2025-05-16 16:39:44,181 - ERROR - Failed to process beatmapset 448136: permission denied for table beatmapsets

2025-05-16 16:39:44,184 - ERROR - Failed to process beatmapset 2335718: permission denied for table beatmapsets

2025-05-16 16:39:44,186 - ERROR - Failed to process beatmapset 1781966: permission denied for table beatmapsets

2025-05-16 16:39:44,190 - ERROR - Failed to process beatmapset 1879397: permission denied for table beatmapsets

2025-05-16 16:39:44,192 - ERROR - Failed to process beatmapset 2318567: permission denied for table beatmapsets

2025-05-16 16:39:44,195 - ERROR - Failed to process beatmapset 2355206: numeric field overflow
DETAIL:  A field with precision 3, scale 2 must round to an absolute value less than 10^1.

2025-05-16 16:39:44,197 - ERROR - Failed to process beatmapset 1846756: permission denied for table beatmapsets

2025-05-16 16:39:44,200 - ERROR - Failed to process beatmapset 2302258: permission denied for table beatmapsets

2025-05-16 16:39:44,203 - ERROR - Failed to process beatmapset 1961589: permission denied for table beatmapsets

2025-05-16 16:39:44,206 - ERROR - Failed to process beatmapset 2279117: permission denied for table beatmapsets

2025-05-16 16:39:44,209 - ERROR - Failed to process beatmapset 2354586: numeric field overflow
DETAIL:  A field with precision 3, scale 2 must round to an absolute value less than 10^1.

2025-05-16 16:39:44,212 - ERROR - Failed to process beatmapset 2303793: permission denied for table beatmapsets

2025-05-16 16:39:44,214 - ERROR - Failed to process beatmapset 2354545: permission denied for table beatmapsets

2025-05-16 16:39:44,217 - ERROR - Failed to process beatmapset 1540410: permission denied for table beatmapsets

2025-05-16 16:39:44,219 - ERROR - Failed to process beatmapset 2335426: permission denied for table beatmapsets

2025-05-16 16:39:44,222 - ERROR - Failed to process beatmapset 2330063: permission denied for table beatmapsets

2025-05-16 16:39:44,226 - ERROR - Failed to process beatmapset 2307373: permission denied for table beatmapsets

2025-05-16 16:39:44,229 - ERROR - Failed to process beatmapset 2252518: permission denied for table beatmapsets

2025-05-16 16:39:44,231 - ERROR - Failed to process beatmapset 2185836: permission denied for table beatmapsets

2025-05-16 16:39:44,233 - ERROR - Failed to process beatmapset 2355037: permission denied for table beatmapsets

2025-05-16 16:39:44,235 - ERROR - Failed to process beatmapset 2332221: permission denied for table beatmapsets

2025-05-16 16:39:44,237 - ERROR - Failed to process beatmapset 285249: permission denied for table beatmapsets

2025-05-16 16:39:44,240 - ERROR - Failed to process beatmapset 2317893: numeric field overflow
DETAIL:  A field with precision 3, scale 2 must round to an absolute value less than 10^1.

2025-05-16 16:39:44,244 - ERROR - Failed to process beatmapset 2357394: permission denied for table beatmapsets

2025-05-16 16:39:44,246 - ERROR - Failed to process beatmapset 2113140: permission denied for table beatmapsets

2025-05-16 16:39:44,248 - ERROR - Failed to process beatmapset 2329029: permission denied for table beatmapsets

2025-05-16 16:39:44,250 - ERROR - Failed to process beatmapset 2314394: permission denied for table beatmapsets

2025-05-16 16:39:44,252 - ERROR - Failed to process beatmapset 2359106: permission denied for table beatmapsets

2025-05-16 16:39:44,255 - ERROR - Failed to process beatmapset 2358791: numeric field overflow
DETAIL:  A field with precision 3, scale 2 must round to an absolute value less than 10^1.

2025-05-16 16:39:44,258 - ERROR - Failed to process beatmapset 2234225: permission denied for table beatmapsets

2025-05-16 16:39:44,261 - ERROR - Failed to process beatmapset 2327822: permission denied for table beatmapsets

2025-05-16 16:39:44,263 - ERROR - Failed to process beatmapset 2210244: numeric field overflow
DETAIL:  A field with precision 3, scale 2 must round to an absolute value less than 10^1.

2025-05-16 16:39:44,265 - ERROR - Failed to process beatmapset 1958324: permission denied for table beatmapsets

2025-05-16 16:39:44,267 - ERROR - Failed to process beatmapset 2332245: permission denied for table beatmapsets

2025-05-16 16:39:44,270 - ERROR - Failed to process beatmapset 2313551: permission denied for table beatmapsets

2025-05-16 16:39:44,273 - ERROR - Failed to process beatmapset 2254272: permission denied for table beatmapsets

2025-05-16 16:39:45,880 - ERROR - Failed to process beatmapset 1984823: permission denied for table beatmapsets

2025-05-16 16:39:45,883 - ERROR - Failed to process beatmapset 2027029: numeric field overflow
DETAIL:  A field with precision 3, scale 2 must round to an absolute value less than 10^1.

2025-05-16 16:39:45,887 - ERROR - Failed to process beatmapset 2131168: numeric field overflow
DETAIL:  A field with precision 3, scale 2 must round to an absolute value less than 10^1.

2025-05-16 16:39:45,895 - ERROR - Failed to process beatmapset 2241559: permission denied for table beatmapsets

2025-05-16 16:39:45,911 - ERROR - Failed to process beatmapset 2333334: permission denied for table beatmapsets

2025-05-16 16:39:45,914 - ERROR - Failed to process beatmapset 2315558: permission denied for table beatmapsets

2025-05-16 16:39:45,916 - ERROR - Failed to process beatmapset 2346082: permission denied for table beatmapsets

2025-05-16 16:39:45,919 - ERROR - Failed to process beatmapset 839856: permission denied for table beatmapsets

2025-05-16 16:39:45,921 - ERROR - Failed to process beatmapset 2311300: permission denied for table beatmapsets

2025-05-16 16:39:45,925 - ERROR - Failed to process beatmapset 2102580: permission denied for table beatmapsets

2025-05-16 16:39:45,927 - ERROR - Failed to process beatmapset 2300701: permission denied for table beatmapsets

2025-05-16 16:39:45,929 - ERROR - Failed to process beatmapset 2338797: permission denied for table beatmapsets

2025-05-16 16:39:45,931 - ERROR - Failed to process beatmapset 2258384: permission denied for table beatmapsets

2025-05-16 16:39:45,935 - ERROR - Failed to process beatmapset 2325258: permission denied for table beatmapsets

2025-05-16 16:39:45,938 - ERROR - Failed to process beatmapset 2183006: permission denied for table beatmapsets

2025-05-16 16:39:45,940 - ERROR - Failed to process beatmapset 2335070: permission denied for table beatmapsets

2025-05-16 16:39:45,944 - ERROR - Failed to process beatmapset 2276375: permission denied for table beatmapsets

2025-05-16 16:39:45,945 - ERROR - Failed to process beatmapset 2355105: permission denied for table beatmapsets

2025-05-16 16:39:45,948 - ERROR - Failed to process beatmapset 247170: permission denied for table beatmapsets

2025-05-16 16:39:45,951 - ERROR - Failed to process beatmapset 2285485: permission denied for table beatmapsets

2025-05-16 16:39:45,953 - ERROR - Failed to process beatmapset 2331348: permission denied for table beatmapsets

2025-05-16 16:39:45,956 - ERROR - Failed to process beatmapset 2327156: permission denied for table beatmapsets

2025-05-16 16:39:45,958 - ERROR - Failed to process beatmapset 2352334: permission denied for table beatmapsets

2025-05-16 16:39:45,961 - ERROR - Failed to process beatmapset 2101371: permission denied for table beatmapsets

2025-05-16 16:39:45,963 - ERROR - Failed to process beatmapset 2357619: permission denied for table beatmapsets

2025-05-16 16:39:45,965 - ERROR - Failed to process beatmapset 2266240: permission denied for table beatmapsets

2025-05-16 16:39:45,969 - ERROR - Failed to process beatmapset 2347084: permission denied for table beatmapsets

2025-05-16 16:39:45,972 - ERROR - Failed to process beatmapset 1990250: permission denied for table beatmapsets

2025-05-16 16:39:45,975 - ERROR - Failed to process beatmapset 2344193: permission denied for table beatmapsets

2025-05-16 16:39:45,977 - ERROR - Failed to process beatmapset 2361830: permission denied for table beatmapsets

2025-05-16 16:39:45,979 - ERROR - Failed to process beatmapset 2311155: permission denied for table beatmapsets

2025-05-16 16:39:45,981 - ERROR - Failed to process beatmapset 2341258: permission denied for table beatmapsets

2025-05-16 16:39:45,983 - ERROR - Failed to process beatmapset 2358247: permission denied for table beatmapsets

2025-05-16 16:39:45,986 - ERROR - Failed to process beatmapset 2348953: permission denied for table beatmapsets

2025-05-16 16:39:45,988 - ERROR - Failed to process beatmapset 2184705: permission denied for table beatmapsets

2025-05-16 16:39:45,991 - ERROR - Failed to process beatmapset 2322253: permission denied for table beatmapsets

2025-05-16 16:39:45,993 - ERROR - Failed to process beatmapset 2354486: permission denied for table beatmapsets

2025-05-16 16:39:45,995 - ERROR - Failed to process beatmapset 2329655: permission denied for table beatmapsets

2025-05-16 16:39:45,997 - ERROR - Failed to process beatmapset 2321032: permission denied for table beatmapsets

2025-05-16 16:39:45,999 - ERROR - Failed to process beatmapset 2316557: permission denied for table beatmapsets

2025-05-16 16:39:46,002 - ERROR - Failed to process beatmapset 1411397: permission denied for table beatmapsets

2025-05-16 16:39:46,005 - ERROR - Failed to process beatmapset 2290867: permission denied for table beatmapsets

2025-05-16 16:39:46,008 - ERROR - Failed to process beatmapset 2168945: permission denied for table beatmapsets

2025-05-16 16:39:46,010 - ERROR - Failed to process beatmapset 2317181: permission denied for table beatmapsets

2025-05-16 16:39:46,011 - ERROR - Failed to process beatmapset 2068905: permission denied for table beatmapsets

2025-05-16 16:39:46,013 - ERROR - Failed to process beatmapset 2170974: permission denied for table beatmapsets

2025-05-16 16:39:46,015 - ERROR - Failed to process beatmapset 2078335: permission denied for table beatmapsets

2025-05-16 16:39:46,018 - ERROR - Failed to process beatmapset 2314502: permission denied for table beatmapsets

2025-05-16 16:39:46,020 - ERROR - Failed to process beatmapset 2312598: permission denied for table beatmapsets

2025-05-16 16:39:46,022 - ERROR - Failed to process beatmapset 2262880: permission denied for table beatmapsets

2025-05-16 16:39:47,188 - ERROR - Failed to process beatmapset 1818753: permission denied for table beatmapsets

2025-05-16 16:39:47,191 - ERROR - Failed to process beatmapset 728652: permission denied for table beatmapsets

2025-05-16 16:39:47,194 - ERROR - Failed to process beatmapset 1399878: numeric field overflow
DETAIL:  A field with precision 3, scale 2 must round to an absolute value less than 10^1.

2025-05-16 16:39:47,197 - ERROR - Failed to process beatmapset 2272084: permission denied for table beatmapsets

2025-05-16 16:39:47,201 - ERROR - Failed to process beatmapset 2354808: permission denied for table beatmapsets

2025-05-16 16:39:47,206 - ERROR - Failed to process beatmapset 1054070: permission denied for table beatmapsets

2025-05-16 16:39:47,210 - ERROR - Failed to process beatmapset 1736567: permission denied for table beatmapsets

2025-05-16 16:39:47,213 - ERROR - Failed to process beatmapset 2353646: permission denied for table beatmapsets

2025-05-16 16:39:47,216 - ERROR - Failed to process beatmapset 2269600: permission denied for table beatmapsets

2025-05-16 16:39:47,221 - ERROR - Failed to process beatmapset 2244025: permission denied for table beatmapsets

